mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07441153526306152,0.00100737481383048,0.016153573989868164,0.0007377006341890767,9,sqrt,3,50,"{'max_depth': 9, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 50}",0.5555555555555556,0.5,0.4444444444444444,0.5294117647058824,0.6470588235294118,0.5352941176470588,0.06698629006702725,36
0.27446660995483396,0.0644904660299702,0.06682090759277344,0.018218122068856514,9,sqrt,3,100,"{'max_depth': 9, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 100}",0.5555555555555556,0.5,0.4444444444444444,0.4117647058823529,0.6470588235294118,0.5117647058823529,0.08353749181004164,87
0.22619290351867677,0.017780255604660622,0.044283151626586914,0.0010298487695503044,9,sqrt,3,150,"{'max_depth': 9, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 150}",0.5555555555555556,0.5,0.6111111111111112,0.47058823529411764,0.7058823529411765,0.5686274509803921,0.0838284662639259,2
0.03870511054992676,0.0011544830475120331,0.011361837387084961,0.0048174130584259,9,sqrt,6,25,"{'max_depth': 9, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 25}",0.5,0.5,0.3333333333333333,0.35294117647058826,0.6470588235294118,0.4666666666666667,0.11443322714835195,107
0.16615591049194336,0.00977259774611504,0.04048542976379395,0.006505793733374559,9,sqrt,6,50,"{'max_depth': 9, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 50}",0.5555555555555556,0.5,0.3333333333333333,0.47058823529411764,0.6470588235294118,0.5013071895424837,0.10329279092882832,92
0.2090383529663086,0.07291781741693418,0.03971147537231445,0.01190488345897658,9,sqrt,6,100,"{'max_depth': 9, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 100}",0.5,0.5,0.4444444444444444,0.47058823529411764,0.7058823529411765,0.5241830065359477,0.09318253686523814,51
0.4208677291870117,0.1301664222422479,0.07559719085693359,0.02763307645047318,9,sqrt,6,150,"{'max_depth': 9, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 150}",0.5555555555555556,0.5,0.3888888888888889,0.47058823529411764,0.6470588235294118,0.5124183006535947,0.08620020567351983,83
0.0869678020477295,0.030489439812460245,0.019353389739990234,0.0024117586436968735,9,sqrt,9,25,"{'max_depth': 9, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 25}",0.5,0.5,0.5,0.5294117647058824,0.7058823529411765,0.5470588235294118,0.08022459821756388,12
0.12366976737976074,0.019421375103263278,0.024333953857421875,0.004213074962897163,9,sqrt,9,50,"{'max_depth': 9, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 50}",0.5555555555555556,0.5555555555555556,0.3888888888888889,0.4117647058823529,0.7058823529411765,0.5235294117647059,0.11482452944312552,59
0.3332990169525146,0.08005078485384981,0.06143937110900879,0.01883599951684719,9,sqrt,9,100,"{'max_depth': 9, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 100}",0.5,0.5555555555555556,0.3888888888888889,0.47058823529411764,0.7058823529411765,0.5241830065359477,0.10560360305932086,51
0.33231263160705565,0.0951685548749512,0.06761550903320312,0.023406988941374964,9,sqrt,9,150,"{'max_depth': 9, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 150}",0.5,0.5,0.3888888888888889,0.47058823529411764,0.7058823529411765,0.5130718954248367,0.10463641996749097,75
